Data,Method,Models,Initial Disagreement,Final Disagreement,Initial Brier,Final Brier,Theorem 3.1,T1,T2,Brier Scores
Folk_Travel_Data,different features,DecisionTreeClassifier,0.561,0.0,"[0.452, 0.407]","[0.322, 0.322]",1. 4 <= 5152.0 |2. 0.322 <= 0.452 and 0.322 <= 0.407 |3. 0.0 < 0.05,2,2,"[[0.452, 0.407], [0.381, 0.407], [0.322, 0.407], [0.322, 0.359], [0.322, 0.322]]"
Folk_Travel,different models,"['LogisticRegression', 'KNeighborsClassifier']",0.4,0.03,"[0.232, 0.262]","[0.231, 0.235]",1. 3 <= 3728.0 |2. 0.231 <= 0.232 and 0.235 <= 0.262 |3. 0.03 < 0.05,1,2,"[[0.232, 0.262], [0.232, 0.247], [0.232, 0.235], [0.231, 0.235]]"
Folk_Mobility_Data,different data,KNeighborsClassifier,0.388,0.031,"[0.211, 0.217]","[0.203, 0.208]",1. 3 <= 3288.0 |2. 0.203 <= 0.211 and 0.208 <= 0.217 |3. 0.031 < 0.05,2,1,"[[0.211, 0.217], [0.204, 0.217], [0.204, 0.208], [0.203, 0.208]]"
Folk_Mobility_Data,different data,DecisionTreeClassifier,0.361,0.0,"[0.346, 0.341]","[0.242, 0.242]",1. 4 <= 3872.0 |2. 0.242 <= 0.346 and 0.242 <= 0.341 |3. 0.0 < 0.05,2,2,"[[0.346, 0.341], [0.259, 0.341], [0.259, 0.259], [0.242, 0.259], [0.242, 0.242]]"
Folk_Mobility_Data,different features,KNeighborsClassifier,0.486,0.021,"[0.209, 0.226]","[0.2, 0.2]",1. 4 <= 3200.0 |2. 0.2 <= 0.209 and 0.2 <= 0.226 |3. 0.021 < 0.05,2,2,"[[0.209, 0.226], [0.209, 0.21], [0.209, 0.2], [0.202, 0.2], [0.2, 0.2]]"
Folk_Mobility_Data,different features,DecisionTreeClassifier,0.552,0.0,"[0.312, 0.309]","[0.235, 0.235]",1. 6 <= 3760.0 |2. 0.235 <= 0.312 and 0.235 <= 0.309 |3. 0.0 < 0.05,3,3,"[[0.312, 0.309], [0.312, 0.245], [0.258, 0.245], [0.249, 0.245], [0.235, 0.245], [0.235, 0.24], [0.235, 0.235]]"
Folk_Mobility,different models,"['LogisticRegression', 'KNeighborsClassifier']",0.397,0.044,"[0.191, 0.208]","[0.191, 0.192]",1. 2 <= 3064.0 |2. 0.191 <= 0.191 and 0.192 <= 0.208 |3. 0.044 < 0.05,0,2,"[[0.191, 0.208], [0.191, 0.199], [0.191, 0.192]]"
Community_Data,Dummy,Dummy,0.654,0.015,"[0.206, 0.225]","[0.118, 0.116]",1. 4 <= 1872.0 |2. 0.118 <= 0.206 and 0.116 <= 0.225 |3. 0.015 < 0.05,1,3,"[[0.206, 0.225], [0.206, 0.118], [0.118, 0.118], [0.118, 0.116], [0.118, 0.116]]"
Community_Data,different data,KNeighborsRegressor,0.05,0.023,"[0.024, 0.025]","[0.024, 0.025]",1. 1 <= 392.0 |2. 0.024 <= 0.024 and 0.025 <= 0.025 |3. 0.023 < 0.05,1,0,"[[0.024, 0.025], [0.024, 0.025]]"
Community_Data,different data,DecisionTreeRegressor,0.236,0.04,"[0.038, 0.04]","[0.032, 0.031]",1. 3 <= 504.0 |2. 0.032 <= 0.038 and 0.031 <= 0.04 |3. 0.04 < 0.05,1,2,"[[0.038, 0.04], [0.032, 0.04], [0.032, 0.032], [0.032, 0.031]]"
Community_Data,different data,LinearRegression,0.05,0.013,"[0.023, 0.023]","[0.023, 0.022]",1. 1 <= 360.0 |2. 0.023 <= 0.023 and 0.022 <= 0.023 |3. 0.013 < 0.05,0,1,"[[0.023, 0.023], [0.023, 0.022]]"
Community_Data,different features,KNeighborsRegressor,0.05,0.025,"[0.023, 0.024]","[0.023, 0.024]",1. 1 <= 376.0 |2. 0.023 <= 0.023 and 0.024 <= 0.024 |3. 0.025 < 0.05,1,0,"[[0.023, 0.024], [0.023, 0.024]]"
Community_Data,different features,DecisionTreeRegressor,0.236,0.038,"[0.04, 0.038]","[0.031, 0.033]",1. 3 <= 512.0 |2. 0.031 <= 0.04 and 0.033 <= 0.038 |3. 0.038 < 0.05,2,1,"[[0.04, 0.038], [0.032, 0.038], [0.032, 0.033], [0.031, 0.033]]"
Community,different models,"['KNeighborsRegressor', 'DecisionTreeRegressor']",0.17,0.013,"[0.022, 0.037]","[0.022, 0.027]",1. 2 <= 392.0 |2. 0.022 <= 0.022 and 0.027 <= 0.037 |3. 0.013 < 0.05,0,2,"[[0.022, 0.037], [0.022, 0.029], [0.022, 0.027]]"
Community,different models,"['DecisionTreeRegressor', 'LinearRegression']",0.168,0.005,"[0.038, 0.02]","[0.025, 0.02]",1. 2 <= 360.0 |2. 0.025 <= 0.038 and 0.02 <= 0.02 |3. 0.005 < 0.05,2,0,"[[0.038, 0.02], [0.029, 0.02], [0.025, 0.02]]"
Compas_Data,different data,KNeighborsClassifier,0.352,0.032,"[0.234, 0.247]","[0.233, 0.231]",1. 3 <= 3712.0 |2. 0.233 <= 0.234 and 0.231 <= 0.247 |3. 0.032 < 0.05,1,2,"[[0.234, 0.247], [0.234, 0.237], [0.234, 0.231], [0.233, 0.231]]"
Compas_Data,different data,DecisionTreeClassifier,0.355,0.028,"[0.258, 0.263]","[0.241, 0.24]",1. 5 <= 3848.0 |2. 0.241 <= 0.258 and 0.24 <= 0.263 |3. 0.028 < 0.05,2,3,"[[0.258, 0.263], [0.258, 0.25], [0.258, 0.239], [0.246, 0.239], [0.241, 0.239], [0.241, 0.24]]"
Compas_Data,different features,LogisticRegression,0.253,0.034,"[0.216, 0.223]","[0.216, 0.218]",1. 2 <= 3472.0 |2. 0.216 <= 0.216 and 0.218 <= 0.223 |3. 0.034 < 0.05,1,1,"[[0.216, 0.223], [0.216, 0.223], [0.216, 0.218]]"
Compas_Data,different features,KNeighborsClassifier,0.438,0.026,"[0.262, 0.275]","[0.24, 0.246]",1. 3 <= 3888.0 |2. 0.24 <= 0.262 and 0.246 <= 0.275 |3. 0.026 < 0.05,1,2,"[[0.262, 0.275], [0.24, 0.275], [0.24, 0.256], [0.24, 0.246]]"
Compas_Data,different features,DecisionTreeClassifier,0.45,0.015,"[0.239, 0.217]","[0.219, 0.217]",1. 3 <= 3488.0 |2. 0.219 <= 0.239 and 0.217 <= 0.217 |3. 0.015 < 0.05,2,1,"[[0.239, 0.217], [0.23, 0.217], [0.219, 0.217], [0.219, 0.217]]"
Compas,different models,"['LogisticRegression', 'KNeighborsClassifier']",0.402,0.015,"[0.208, 0.25]","[0.208, 0.217]",1. 2 <= 3400.0 |2. 0.208 <= 0.208 and 0.217 <= 0.25 |3. 0.015 < 0.05,0,2,"[[0.208, 0.25], [0.208, 0.232], [0.208, 0.217]]"
Compas,different models,"['LogisticRegression', 'DecisionTreeClassifier']",0.212,0.053,"[0.208, 0.242]","[0.208, 0.213]",1. 2 <= 3368.0 |2. 0.208 <= 0.208 and 0.213 <= 0.242 |3. 0.053 < 0.05,0,2,"[[0.208, 0.242], [0.208, 0.224], [0.208, 0.213]]"
Compas,different models,"['KNeighborsClassifier', 'DecisionTreeClassifier']",0.274,0.041,"[0.25, 0.242]","[0.232, 0.241]",1. 3 <= 3784.0 |2. 0.232 <= 0.25 and 0.241 <= 0.242 |3. 0.041 < 0.05,2,1,"[[0.25, 0.242], [0.24, 0.242], [0.24, 0.241], [0.232, 0.241]]"
Adult_Data,different data,KNeighborsClassifier,0.216,0.03,"[0.147, 0.145]","[0.137, 0.136]",1. 3 <= 2184.0 |2. 0.137 <= 0.147 and 0.136 <= 0.145 |3. 0.03 < 0.05,1,2,"[[0.147, 0.145], [0.147, 0.137], [0.137, 0.137], [0.137, 0.136]]"
Adult_Data,different data,DecisionTreeClassifier,0.244,0.0,"[0.22, 0.215]","[0.166, 0.165]",1. 4 <= 2648.0 |2. 0.166 <= 0.22 and 0.165 <= 0.215 |3. 0.0 < 0.05,2,2,"[[0.22, 0.215], [0.179, 0.215], [0.179, 0.177], [0.166, 0.177], [0.166, 0.165]]"
Adult_Data,different features,LogisticRegression,0.306,0.015,"[0.133, 0.132]","[0.124, 0.124]",1. 4 <= 1984.0 |2. 0.124 <= 0.133 and 0.124 <= 0.132 |3. 0.015 < 0.05,2,2,"[[0.133, 0.132], [0.126, 0.132], [0.126, 0.125], [0.124, 0.125], [0.124, 0.124]]"
Adult_Data,different features,KNeighborsClassifier,0.288,0.025,"[0.148, 0.154]","[0.134, 0.136]",1. 4 <= 2160.0 |2. 0.134 <= 0.148 and 0.136 <= 0.154 |3. 0.025 < 0.05,2,2,"[[0.148, 0.154], [0.148, 0.139], [0.136, 0.139], [0.136, 0.136], [0.134, 0.136]]"
Adult_Data,different features,DecisionTreeClassifier,0.4,0.038,"[0.144, 0.179]","[0.138, 0.136]",1. 4 <= 2192.0 |2. 0.138 <= 0.144 and 0.136 <= 0.179 |3. 0.038 < 0.05,1,3,"[[0.144, 0.179], [0.144, 0.15], [0.144, 0.139], [0.138, 0.139], [0.138, 0.136]]"
Adult,different models,"['LogisticRegression', 'KNeighborsClassifier']",0.214,0.019,"[0.115, 0.141]","[0.115, 0.122]",1. 2 <= 1896.0 |2. 0.115 <= 0.115 and 0.122 <= 0.141 |3. 0.019 < 0.05,0,2,"[[0.115, 0.141], [0.115, 0.129], [0.115, 0.122]]"
German_Data,different data,LogisticRegression,0.28,0.035,"[0.182, 0.171]","[0.177, 0.166]",1. 3 <= 2744.0 |2. 0.177 <= 0.182 and 0.166 <= 0.171 |3. 0.035 < 0.05,1,2,"[[0.182, 0.171], [0.182, 0.168], [0.177, 0.168], [0.177, 0.166]]"
German_Data,different data,KNeighborsClassifier,0.275,0.04,"[0.227, 0.203]","[0.211, 0.206]",1. 3 <= 3336.0 |2. 0.211 <= 0.227 and 0.206 <= 0.203 |3. 0.04 < 0.05,2,1,"[[0.227, 0.203], [0.227, 0.206], [0.213, 0.206], [0.211, 0.206]]"
German_Data,different data,DecisionTreeClassifier,0.365,0.0,"[0.335, 0.33]","[0.231, 0.231]",1. 4 <= 3696.0 |2. 0.231 <= 0.335 and 0.231 <= 0.33 |3. 0.0 < 0.05,2,2,"[[0.335, 0.33], [0.335, 0.25], [0.251, 0.25], [0.231, 0.25], [0.231, 0.231]]"
German_Data,different features,LogisticRegression,0.425,0.03,"[0.208, 0.163]","[0.178, 0.163]",1. 2 <= 2728.0 |2. 0.178 <= 0.208 and 0.163 <= 0.163 |3. 0.03 < 0.05,2,0,"[[0.208, 0.163], [0.194, 0.163], [0.178, 0.163]]"
German_Data,different features,KNeighborsClassifier,0.41,0.025,"[0.242, 0.214]","[0.209, 0.21]",1. 4 <= 3352.0 |2. 0.209 <= 0.242 and 0.21 <= 0.214 |3. 0.025 < 0.05,2,2,"[[0.242, 0.214], [0.213, 0.214], [0.213, 0.21], [0.209, 0.21], [0.209, 0.21]]"
German_Data,different features,DecisionTreeClassifier,0.45,0.0,"[0.332, 0.335]","[0.229, 0.226]",1. 4 <= 3640.0 |2. 0.229 <= 0.332 and 0.226 <= 0.335 |3. 0.0 < 0.05,2,2,"[[0.332, 0.335], [0.332, 0.243], [0.27, 0.243], [0.229, 0.243], [0.229, 0.226]]"
German,different models,"['LogisticRegression', 'KNeighborsClassifier']",0.34,0.035,"[0.168, 0.215]","[0.169, 0.182]",1. 3 <= 2808.0 |2. 0.169 <= 0.168 and 0.182 <= 0.215 |3. 0.035 < 0.05,1,2,"[[0.168, 0.215], [0.168, 0.195], [0.168, 0.182], [0.169, 0.182]]"
Folk_Income_Data,different data,KNeighborsClassifier,0.249,0.029,"[0.168, 0.17]","[0.162, 0.16]",1. 3 <= 2576.0 |2. 0.162 <= 0.168 and 0.16 <= 0.17 |3. 0.029 < 0.05,1,2,"[[0.168, 0.17], [0.168, 0.162], [0.162, 0.162], [0.162, 0.16]]"
Folk_Income_Data,different data,DecisionTreeClassifier,0.277,0.0,"[0.261, 0.262]","[0.191, 0.191]",1. 4 <= 3056.0 |2. 0.191 <= 0.261 and 0.191 <= 0.262 |3. 0.0 < 0.05,2,2,"[[0.261, 0.262], [0.261, 0.218], [0.216, 0.218], [0.216, 0.191], [0.191, 0.191]]"
Folk_Income_Data,different features,LogisticRegression,0.352,0.032,"[0.188, 0.153]","[0.159, 0.153]",1. 2 <= 2496.0 |2. 0.159 <= 0.188 and 0.153 <= 0.153 |3. 0.032 < 0.05,2,0,"[[0.188, 0.153], [0.172, 0.153], [0.159, 0.153]]"
Folk_Income_Data,different features,KNeighborsClassifier,0.378,0.04,"[0.192, 0.176]","[0.164, 0.166]",1. 4 <= 2640.0 |2. 0.164 <= 0.192 and 0.166 <= 0.176 |3. 0.04 < 0.05,2,2,"[[0.192, 0.176], [0.175, 0.176], [0.164, 0.176], [0.164, 0.169], [0.164, 0.166]]"
Folk_Income_Data,different features,DecisionTreeClassifier,0.618,0.044,"[0.25, 0.209]","[0.18, 0.179]",1. 5 <= 2872.0 |2. 0.18 <= 0.25 and 0.179 <= 0.209 |3. 0.044 < 0.05,2,3,"[[0.25, 0.209], [0.204, 0.209], [0.18, 0.209], [0.18, 0.195], [0.18, 0.182], [0.18, 0.179]]"
Folk_Income,different models,"['LogisticRegression', 'KNeighborsClassifier']",0.285,0.043,"[0.145, 0.165]","[0.145, 0.148]",1. 2 <= 2344.0 |2. 0.145 <= 0.145 and 0.148 <= 0.165 |3. 0.043 < 0.05,0,2,"[[0.145, 0.165], [0.145, 0.156], [0.145, 0.148]]"
Folk_Travel_Data,different data,KNeighborsClassifier,0.38,0.017,"[0.261, 0.263]","[0.247, 0.247]",1. 4 <= 3952.0 |2. 0.247 <= 0.261 and 0.247 <= 0.263 |3. 0.017 < 0.05,2,2,"[[0.261, 0.263], [0.251, 0.263], [0.251, 0.252], [0.247, 0.252], [0.247, 0.247]]"
Folk_Travel_Data,different data,DecisionTreeClassifier,0.41,0.0,"[0.4, 0.398]","[0.296, 0.296]",1. 4 <= 4736.0 |2. 0.296 <= 0.4 and 0.296 <= 0.398 |3. 0.0 < 0.05,2,2,"[[0.4, 0.398], [0.347, 0.398], [0.347, 0.344], [0.296, 0.344], [0.296, 0.296]]"
Folk_Travel_Data,different features,LogisticRegression,0.106,0.002,"[0.233, 0.247]","[0.233, 0.234]",1. 1 <= 3736.0 |2. 0.233 <= 0.233 and 0.234 <= 0.247 |3. 0.002 < 0.05,0,1,"[[0.233, 0.247], [0.233, 0.234]]"
Folk_Travel_Data,different features,KNeighborsClassifier,0.501,0.044,"[0.273, 0.267]","[0.244, 0.251]",1. 4 <= 3960.0 |2. 0.244 <= 0.273 and 0.251 <= 0.267 |3. 0.044 < 0.05,2,2,"[[0.273, 0.267], [0.256, 0.267], [0.244, 0.267], [0.244, 0.258], [0.244, 0.251]]"
Folk_Travel_Data,different features,DecisionTreeClassifier,0.629,0.004,"[0.382, 0.407]","[0.295, 0.291]",1. 4 <= 4688.0 |2. 0.295 <= 0.382 and 0.291 <= 0.407 |3. 0.004 < 0.05,2,2,"[[0.382, 0.407], [0.382, 0.346], [0.382, 0.291], [0.334, 0.291], [0.295, 0.291]]"
Folk_Travel,different models,"['LogisticRegression', 'KNeighborsClassifier']",0.4,0.03,"[0.232, 0.262]","[0.231, 0.235]",1. 3 <= 3728.0 |2. 0.231 <= 0.232 and 0.235 <= 0.262 |3. 0.03 < 0.05,1,2,"[[0.232, 0.262], [0.232, 0.247], [0.232, 0.235], [0.231, 0.235]]"
Folk_Mobility_Data,different data,KNeighborsClassifier,0.398,0.029,"[0.218, 0.214]","[0.208, 0.204]",1. 3 <= 3296.0 |2. 0.208 <= 0.218 and 0.204 <= 0.214 |3. 0.029 < 0.05,1,2,"[[0.218, 0.214], [0.218, 0.205], [0.208, 0.205], [0.208, 0.204]]"
Folk_Mobility_Data,different data,DecisionTreeClassifier,0.355,0.0,"[0.344, 0.331]","[0.24, 0.24]",1. 4 <= 3840.0 |2. 0.24 <= 0.344 and 0.24 <= 0.331 |3. 0.0 < 0.05,2,2,"[[0.344, 0.331], [0.259, 0.331], [0.259, 0.258], [0.24, 0.258], [0.24, 0.24]]"
Folk_Mobility_Data,different features,KNeighborsClassifier,0.477,0.022,"[0.207, 0.232]","[0.201, 0.202]",1. 4 <= 3224.0 |2. 0.201 <= 0.207 and 0.202 <= 0.232 |3. 0.022 < 0.05,2,2,"[[0.207, 0.232], [0.207, 0.213], [0.207, 0.202], [0.202, 0.202], [0.201, 0.202]]"
Folk_Mobility_Data,different features,DecisionTreeClassifier,0.579,0.0,"[0.288, 0.309]","[0.228, 0.234]",1. 6 <= 3696.0 |2. 0.228 <= 0.288 and 0.234 <= 0.309 |3. 0.0 < 0.05,3,3,"[[0.288, 0.309], [0.288, 0.243], [0.253, 0.243], [0.237, 0.243], [0.228, 0.243], [0.228, 0.237], [0.228, 0.234]]"
Folk_Mobility,different models,"['LogisticRegression', 'KNeighborsClassifier']",0.397,0.044,"[0.191, 0.208]","[0.191, 0.192]",1. 2 <= 3064.0 |2. 0.191 <= 0.191 and 0.192 <= 0.208 |3. 0.044 < 0.05,0,2,"[[0.191, 0.208], [0.191, 0.199], [0.191, 0.192]]"
Community_Data,Dummy,Dummy,0.662,0.063,"[0.205, 0.203]","[0.126, 0.122]",1. 4 <= 1984.0 |2. 0.126 <= 0.205 and 0.122 <= 0.203 |3. 0.063 < 0.05,2,2,"[[0.205, 0.203], [0.126, 0.203], [0.126, 0.121], [0.126, 0.122], [0.126, 0.122]]"
Community_Data,different data,KNeighborsRegressor,0.035,0.013,"[0.024, 0.025]","[0.024, 0.025]",1. 1 <= 392.0 |2. 0.024 <= 0.024 and 0.025 <= 0.025 |3. 0.013 < 0.05,1,0,"[[0.024, 0.025], [0.024, 0.025]]"
Community_Data,different data,DecisionTreeRegressor,0.211,0.048,"[0.032, 0.039]","[0.025, 0.029]",1. 2 <= 432.0 |2. 0.025 <= 0.032 and 0.029 <= 0.039 |3. 0.048 < 0.05,1,1,"[[0.032, 0.039], [0.032, 0.029], [0.025, 0.029]]"
Community_Data,different data,LinearRegression,0.058,0.018,"[0.022, 0.024]","[0.021, 0.024]",1. 1 <= 360.0 |2. 0.021 <= 0.022 and 0.024 <= 0.024 |3. 0.018 < 0.05,1,0,"[[0.022, 0.024], [0.021, 0.024]]"
Community_Data,different features,KNeighborsRegressor,0.038,0.028,"[0.023, 0.023]","[0.023, 0.024]",1. 1 <= 376.0 |2. 0.023 <= 0.023 and 0.024 <= 0.023 |3. 0.028 < 0.05,0,1,"[[0.023, 0.023], [0.023, 0.024]]"
Community_Data,different features,DecisionTreeRegressor,0.231,0.028,"[0.039, 0.035]","[0.034, 0.029]",1. 3 <= 504.0 |2. 0.034 <= 0.039 and 0.029 <= 0.035 |3. 0.028 < 0.05,1,2,"[[0.039, 0.035], [0.039, 0.028], [0.039, 0.029], [0.034, 0.029]]"
Community,different models,"['KNeighborsRegressor', 'DecisionTreeRegressor']",0.183,0.018,"[0.022, 0.04]","[0.022, 0.027]",1. 2 <= 392.0 |2. 0.022 <= 0.022 and 0.027 <= 0.04 |3. 0.018 < 0.05,0,2,"[[0.022, 0.04], [0.022, 0.03], [0.022, 0.027]]"
Community,different models,"['DecisionTreeRegressor', 'LinearRegression']",0.178,0.005,"[0.038, 0.02]","[0.025, 0.02]",1. 2 <= 360.0 |2. 0.025 <= 0.038 and 0.02 <= 0.02 |3. 0.005 < 0.05,2,0,"[[0.038, 0.02], [0.029, 0.02], [0.025, 0.02]]"
Compas_Data,different data,KNeighborsClassifier,0.345,0.031,"[0.249, 0.242]","[0.232, 0.237]",1. 3 <= 3752.0 |2. 0.232 <= 0.249 and 0.237 <= 0.242 |3. 0.031 < 0.05,2,1,"[[0.249, 0.242], [0.242, 0.242], [0.232, 0.242], [0.232, 0.237]]"
Compas_Data,different data,DecisionTreeClassifier,0.42,0.036,"[0.269, 0.253]","[0.234, 0.238]",1. 6 <= 3776.0 |2. 0.234 <= 0.269 and 0.238 <= 0.253 |3. 0.036 < 0.05,3,3,"[[0.269, 0.253], [0.253, 0.253], [0.237, 0.253], [0.237, 0.245], [0.234, 0.245], [0.234, 0.241], [0.234, 0.238]]"
Compas_Data,different features,LogisticRegression,0.309,0.022,"[0.235, 0.213]","[0.217, 0.213]",1. 2 <= 3440.0 |2. 0.217 <= 0.235 and 0.213 <= 0.213 |3. 0.022 < 0.05,2,0,"[[0.235, 0.213], [0.225, 0.213], [0.217, 0.213]]"
Compas_Data,different features,KNeighborsClassifier,0.54,0.038,"[0.261, 0.247]","[0.231, 0.228]",1. 4 <= 3672.0 |2. 0.231 <= 0.261 and 0.228 <= 0.247 |3. 0.038 < 0.05,2,2,"[[0.261, 0.247], [0.233, 0.247], [0.233, 0.238], [0.233, 0.228], [0.231, 0.228]]"
Compas_Data,different features,DecisionTreeClassifier,0.288,0.022,"[0.222, 0.218]","[0.221, 0.214]",1. 3 <= 3480.0 |2. 0.221 <= 0.222 and 0.214 <= 0.218 |3. 0.022 < 0.05,1,2,"[[0.222, 0.218], [0.222, 0.216], [0.222, 0.214], [0.221, 0.214]]"
Compas,different models,"['LogisticRegression', 'KNeighborsClassifier']",0.402,0.015,"[0.208, 0.25]","[0.208, 0.217]",1. 2 <= 3400.0 |2. 0.208 <= 0.208 and 0.217 <= 0.25 |3. 0.015 < 0.05,0,2,"[[0.208, 0.25], [0.208, 0.232], [0.208, 0.217]]"
Compas,different models,"['LogisticRegression', 'DecisionTreeClassifier']",0.214,0.049,"[0.208, 0.241]","[0.208, 0.212]",1. 2 <= 3360.0 |2. 0.208 <= 0.208 and 0.212 <= 0.241 |3. 0.049 < 0.05,0,2,"[[0.208, 0.241], [0.208, 0.223], [0.208, 0.212]]"
Compas,different models,"['KNeighborsClassifier', 'DecisionTreeClassifier']",0.274,0.041,"[0.25, 0.241]","[0.232, 0.24]",1. 3 <= 3776.0 |2. 0.232 <= 0.25 and 0.24 <= 0.241 |3. 0.041 < 0.05,2,1,"[[0.25, 0.241], [0.24, 0.241], [0.24, 0.24], [0.232, 0.24]]"
