Data,Method,Measure,Value
Folk_Travel_Data,M,disagreement,"DescribeResult(nobs=10, minmax=(0.0, 0.07317834738425728), mean=0.029143603281387494, variance=0.0005198682401183406, skewness=0.18004490799236023, kurtosis=-0.3681252283591121)"
Folk_Travel_Data,a,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.3436662532763442e-06, 0.0743798748208925), mean=0.0036226133594817666, variance=2.324297874223841e-05, skewness=5.159610344490815, kurtosis=44.53332459166505)"
Folk_Travel_Data,a,ambiguity,0.146
Folk_Travel_Data,a,discrepancy,0.102
Folk_Travel_Data,a,disagreement,"DescribeResult(nobs=190, minmax=(0.0, 0.0656277498651679), mean=0.0171406332402581, variance=0.0002779210492853129, skewness=0.8119806473535078, kurtosis=0.118728329175255)"
Folk_Travel_Data,b,variance in predictions,"DescribeResult(nobs=17615, minmax=(2.490651591981637e-07, 0.07205932553150864), mean=0.003217835106500367, variance=1.6844680636786634e-05, skewness=2.921372255932878, kurtosis=15.970997977998678)"
Folk_Travel_Data,b,ambiguity,0.105
Folk_Travel_Data,b,discrepancy,0.086
Folk_Travel_Data,b,disagreement,"DescribeResult(nobs=45, minmax=(0.0, 0.0365040165772517), mean=0.014993960152778171, variance=0.00022332539166285907, skewness=0.26755542253110964, kurtosis=-1.5747654738323136)"
Folk_Travel_Data,c,variance in predictions,"DescribeResult(nobs=17615, minmax=(9.537017289326778e-08, 0.06992871063088557), mean=0.0035806213729692228, variance=2.1085155367976262e-05, skewness=2.7861405652052897, kurtosis=13.386343321125253)"
Folk_Travel_Data,c,ambiguity,0.103
Folk_Travel_Data,c,discrepancy,0.086
Folk_Travel_Data,c,disagreement,"DescribeResult(nobs=10, minmax=(0.0, 0.0365040165772517), mean=0.01693491157852905, variance=0.0002374635338364458, skewness=0.03300202080854068, kurtosis=-1.6062440417147685)"
Folk_Travel_Data,d,variance in predictions,"DescribeResult(nobs=17615, minmax=(1.8847809340674843e-11, 0.13299243424691257), mean=0.0032879835011331566, variance=3.887571778782257e-05, skewness=6.407530074598428, kurtosis=67.49875009629754)"
Folk_Travel_Data,d,ambiguity,0.089
Folk_Travel_Data,d,discrepancy,0.081
Folk_Travel_Data,d,disagreement,"DescribeResult(nobs=6, minmax=(0.0, 0.031053961225127026), mean=0.012376167362116436, variance=0.00019571657125717085, skewness=0.19198083538103689, kurtosis=-1.7057193958186747)"
Folk_Mobility_Data,M,variance in predictions,"DescribeResult(nobs=6899, minmax=(0.0009093000068182925, 0.10893554252323472), mean=0.019431365652932353, variance=0.0001254743834260125, skewness=2.4401326526878133, kurtosis=10.146826868720446)"
Folk_Mobility_Data,M,ambiguity,0.419
Folk_Mobility_Data,M,discrepancy,0.289
Folk_Mobility_Data,M,disagreement,"DescribeResult(nobs=28, minmax=(7.247952453431905e-05, 0.3656592012756396), mean=0.14608765880781535, variance=0.015117221180449388, skewness=0.6111888192008149, kurtosis=-1.0725324455923413)"
Folk_Mobility_Data,a,variance in predictions,"DescribeResult(nobs=6899, minmax=(0.00010280027797833567, 0.06815348530811305), mean=0.007363585525436892, variance=3.673126021645274e-05, skewness=2.483404983649931, kurtosis=10.395529836759886)"
Folk_Mobility_Data,a,ambiguity,0.33
Folk_Mobility_Data,a,discrepancy,0.161
Folk_Mobility_Data,a,disagreement,"DescribeResult(nobs=1540, minmax=(0.0, 0.2069290425454809), mean=0.05033646501356873, variance=0.0016228800836540823, skewness=0.6111546093981535, kurtosis=-0.2753284463757124)"
Folk_Mobility_Data,b,variance in predictions,"DescribeResult(nobs=6899, minmax=(3.372601474116609e-05, 0.10728121229429327), mean=0.0060314185226623285, variance=4.5085529295248e-05, skewness=3.6934825363602184, kurtosis=24.159145053334438)"
Folk_Mobility_Data,b,ambiguity,0.268
Folk_Mobility_Data,b,discrepancy,0.148
Folk_Mobility_Data,b,disagreement,"DescribeResult(nobs=378, minmax=(0.0, 0.14735087337827063), mean=0.038882580485827566, variance=0.0011705878751336685, skewness=0.4952551090770426, kurtosis=-0.6190340980524076)"
Folk_Mobility_Data,c,variance in predictions,"DescribeResult(nobs=6899, minmax=(5.277915407043273e-06, 0.09023480548717136), mean=0.004630275412572393, variance=4.5837144941067274e-05, skewness=3.3318376253702726, kurtosis=17.898641437153906)"
Folk_Mobility_Data,c,ambiguity,0.156
Folk_Mobility_Data,c,discrepancy,0.11
Folk_Mobility_Data,c,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.08400376893527578), mean=0.028411973617453068, variance=0.0007022096371809413, skewness=0.3334965632221492, kurtosis=-1.3558823405524931)"
Folk_Mobility_Data,d,variance in predictions,"DescribeResult(nobs=6899, minmax=(1.4722063112068975e-06, 0.06343982724099967), mean=0.0033467056892122335, variance=2.7788793889277812e-05, skewness=5.824359115432422, kurtosis=45.65181308081362)"
Folk_Mobility_Data,d,ambiguity,0.113
Folk_Mobility_Data,d,discrepancy,0.081
Folk_Mobility_Data,d,disagreement,"DescribeResult(nobs=21, minmax=(0.0, 0.041675726607233454), mean=0.010582010582010581, variance=0.00013212475709286112, skewness=1.3800243053827719, kurtosis=0.9883874690998011)"
Community_Data,M,variance in predictions,"DescribeResult(nobs=399, minmax=(0.00040711558886375647, 0.04762493244237258), mean=0.005498733095913061, variance=5.201030764079486e-05, skewness=3.148009838849247, kurtosis=11.544899824113969)"
Community_Data,M,ambiguity,0.21
Community_Data,M,discrepancy,0.136
Community_Data,M,disagreement,"DescribeResult(nobs=55, minmax=(0.0, 0.09022556390977443), mean=0.03114604693552062, variance=0.0010184782818120548, skewness=0.6559516107829245, kurtosis=-1.1321890250356126)"
Community_Data,a,variance in predictions,"DescribeResult(nobs=399, minmax=(0.00037350054024197835, 0.023252050670631356), mean=0.003746595942953064, variance=1.1287059431201672e-05, skewness=2.2618260635381486, kurtosis=6.648573290286169)"
Community_Data,a,ambiguity,0.23
Community_Data,a,discrepancy,0.136
Community_Data,a,disagreement,"DescribeResult(nobs=5995, minmax=(0.0, 0.09147869674185463), mean=0.017808700232650014, variance=0.000372512456272207, skewness=1.2559857865646142, kurtosis=1.3487135578384688)"
Community_Data,b,variance in predictions,"DescribeResult(nobs=399, minmax=(2.0006745874403488e-05, 0.02260172642856907), mean=0.002708520762551799, variance=1.0016557815759689e-05, skewness=2.498162931676616, kurtosis=8.456736427239969)"
Community_Data,b,ambiguity,0.197
Community_Data,b,discrepancy,0.114
Community_Data,b,disagreement,"DescribeResult(nobs=1485, minmax=(0.0, 0.09147869674185463), mean=0.014159979072259774, variance=0.00030555810982844424, skewness=1.7638853727986978, kurtosis=3.7185753795369827)"
Community_Data,c,variance in predictions,"DescribeResult(nobs=399, minmax=(0.00039945309978757536, 0.03444574555916371), mean=0.005243261720526179, variance=2.436355318030668e-05, skewness=2.2031870453842415, kurtosis=6.04865567091986)"
Community_Data,c,ambiguity,0.204
Community_Data,c,discrepancy,0.128
Community_Data,c,disagreement,"DescribeResult(nobs=55, minmax=(0.0, 0.07894736842105263), mean=0.027477785372522216, variance=0.0007286883402611318, skewness=0.6456206257401007, kurtosis=-0.9730206208732133)"
Community_Data,d,variance in predictions,"DescribeResult(nobs=399, minmax=(4.697505230013879e-06, 0.029257157082659895), mean=0.0016797535237699185, variance=9.701228469510277e-06, skewness=4.553761144198948, kurtosis=28.7340916213732)"
Community_Data,d,ambiguity,0.076
Community_Data,d,discrepancy,0.059
Community_Data,d,disagreement,"DescribeResult(nobs=45, minmax=(0.0, 0.017543859649122806), mean=0.006126427179058758, variance=3.9845442826579864e-05, skewness=0.3292977046330812, kurtosis=-1.4109027464349455)"
Compas_Data,M,variance in predictions,"DescribeResult(nobs=1235, minmax=(0.0008259812578510716, 0.15733655182356174), mean=0.019927732455070776, variance=0.00044277519617857725, skewness=3.18797284012196, kurtosis=12.072350300381283)"
Compas_Data,M,ambiguity,0.408
Compas_Data,M,discrepancy,0.309
Compas_Data,M,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.3522267206477733), mean=0.13087044534412953, variance=0.009762909687797815, skewness=0.44164854612384263, kurtosis=-1.0630713263455491)"
Compas_Data,a,variance in predictions,"DescribeResult(nobs=1235, minmax=(0.0004449581714970263, 0.07818699227008455), mean=0.00917574273331049, variance=9.43993346510819e-05, skewness=2.8676248377622646, kurtosis=10.591155337594639)"
Compas_Data,a,ambiguity,0.368
Compas_Data,a,discrepancy,0.225
Compas_Data,a,disagreement,"DescribeResult(nobs=2556, minmax=(0.0, 0.2680161943319838), mean=0.06372003953545835, variance=0.002094585013223386, skewness=0.7661585333005938, kurtosis=0.6216063483348129)"
Compas_Data,b,variance in predictions,"DescribeResult(nobs=1235, minmax=(7.75270389100588e-05, 0.07705947568104139), mean=0.007283792257497762, variance=9.401734020041369e-05, skewness=2.693779505403856, kurtosis=9.604597781572018)"
Compas_Data,b,ambiguity,0.287
Compas_Data,b,discrepancy,0.189
Compas_Data,b,disagreement,"DescribeResult(nobs=630, minmax=(0.0, 0.18380566801619433), mean=0.051690122742754314, variance=0.0013318059783383606, skewness=0.48096677955807415, kurtosis=-0.4362783756151418)"
Compas_Data,c,variance in predictions,"DescribeResult(nobs=1235, minmax=(4.0659296868052435e-06, 0.09822963397956742), mean=0.006445486911959389, variance=0.00013922547669733447, skewness=3.075593771685616, kurtosis=11.732491930379393)"
Compas_Data,c,ambiguity,0.15
Compas_Data,c,discrepancy,0.118
Compas_Data,c,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.09392712550607288), mean=0.04269005847953217, variance=0.0010248365645766028, skewness=0.3204508763022691, kurtosis=-1.05234575624624)"
Compas_Data,d,variance in predictions,"DescribeResult(nobs=1235, minmax=(3.2739968237574824e-06, 0.054278896499677556), mean=0.002986666283439125, variance=2.8547160544953328e-05, skewness=3.971443648840118, kurtosis=22.72789147645959)"
Compas_Data,d,ambiguity,0.102
Compas_Data,d,discrepancy,0.086
Compas_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.05506072874493927), mean=0.016685945633314055, variance=0.0003806646274151068, skewness=1.1952769763117868, kurtosis=0.08089487815528873)"
Adult_Data,M,variance in predictions,"DescribeResult(nobs=6513, minmax=(0.0021039843082480006, 0.16342102384900198), mean=0.025126176687963103, variance=0.00020710315770006087, skewness=3.02328135333125, kurtosis=14.24206576682554)"
Adult_Data,M,ambiguity,0.467
Adult_Data,M,discrepancy,0.365
Adult_Data,M,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.40445297504798466), mean=0.14911708253358927, variance=0.016377934147225888, skewness=0.955395067515166, kurtosis=-0.464318680671175)"
Adult_Data,a,variance in predictions,"DescribeResult(nobs=6513, minmax=(1.3491242142753028e-05, 0.10518054152534195), mean=0.009020117845705137, variance=0.00010163006061825274, skewness=2.3694317736796346, kurtosis=9.235190705559429)"
Adult_Data,a,ambiguity,0.335
Adult_Data,a,discrepancy,0.185
Adult_Data,a,disagreement,"DescribeResult(nobs=2556, minmax=(0.0, 0.17351247600767755), mean=0.05918752008746873, variance=0.0017318029213108338, skewness=0.4248348683104659, kurtosis=-0.6545232219124753)"
Adult_Data,b,variance in predictions,"DescribeResult(nobs=6513, minmax=(1.4691682178203272e-05, 0.08869703790277512), mean=0.008069016066230866, variance=8.380476800568082e-05, skewness=2.163333129450351, kurtosis=7.63947975594979)"
Adult_Data,b,ambiguity,0.275
Adult_Data,b,discrepancy,0.151
Adult_Data,b,disagreement,"DescribeResult(nobs=630, minmax=(0.0, 0.17351247600767755), mean=0.0544270785729519, variance=0.0016903474391593246, skewness=0.3853805547783346, kurtosis=-0.8378700823521128)"
Adult_Data,c,variance in predictions,"DescribeResult(nobs=6513, minmax=(1.3313928930095344e-05, 0.1179503536138056), mean=0.010108048190043425, variance=0.00018480377177324846, skewness=2.6407806697672838, kurtosis=9.885297025763084)"
Adult_Data,c,ambiguity,0.243
Adult_Data,c,discrepancy,0.151
Adult_Data,c,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.16806142034548943), mean=0.06749626786095114, variance=0.002111524418501773, skewness=0.455166019947009, kurtosis=-0.7696430030911081)"
Adult_Data,d,variance in predictions,"DescribeResult(nobs=6513, minmax=(5.114538142684108e-06, 0.1859139397669139), mean=0.005059333899319623, variance=0.00018852246058424847, skewness=7.044380022250698, kurtosis=63.45428951312374)"
Adult_Data,d,ambiguity,0.134
Adult_Data,d,discrepancy,0.086
Adult_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.057504798464491365), mean=0.025843158760625172, variance=0.00039255112470581034, skewness=0.11682238580846509, kurtosis=-1.268316927348089)"
German_Data,M,variance in predictions,"DescribeResult(nobs=200, minmax=(0.00010903966991198575, 0.12685432341656697), mean=0.020648802841561745, variance=0.00048104555988087515, skewness=1.9897329082076176, kurtosis=4.5224725463394595)"
German_Data,M,ambiguity,0.362
German_Data,M,discrepancy,0.235
German_Data,M,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.2275), mean=0.12258928571428572, variance=0.004334482473544974, skewness=-0.30140838494507466, kurtosis=-1.1173621907359397)"
German_Data,a,variance in predictions,"DescribeResult(nobs=200, minmax=(9.714443319431456e-05, 0.04728594598896014), mean=0.010293663106815098, variance=5.9131733590192925e-05, skewness=1.4591864693694265, kurtosis=3.006243081372097)"
German_Data,a,ambiguity,0.375
German_Data,a,discrepancy,0.208
German_Data,a,disagreement,"DescribeResult(nobs=1540, minmax=(0.0, 0.225), mean=0.07281493506493507, variance=0.0021826736559412, skewness=0.41281297457125166, kurtosis=-0.19494176662318363)"
German_Data,b,variance in predictions,"DescribeResult(nobs=200, minmax=(8.823296460037481e-05, 0.035303742423474005), mean=0.008647218389818074, variance=4.9430777563620146e-05, skewness=1.3477645888770162, kurtosis=1.6682243602451123)"
German_Data,b,ambiguity,0.31
German_Data,b,discrepancy,0.183
German_Data,b,disagreement,"DescribeResult(nobs=378, minmax=(0.0, 0.16), mean=0.06114417989417989, variance=0.0018649174859304166, skewness=0.29687641076060534, kurtosis=-0.726602787755708)"
German_Data,c,variance in predictions,"DescribeResult(nobs=200, minmax=(0.00011680577046834866, 0.06093562469002245), mean=0.010408720468399787, variance=6.993371492391953e-05, skewness=1.9910578312496532, kurtosis=7.236286459575268)"
German_Data,c,ambiguity,0.27
German_Data,c,discrepancy,0.148
German_Data,c,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.135), mean=0.07401785714285714, variance=0.0015635830026455026, skewness=-0.4795838515192722, kurtosis=-1.0575097591283147)"
German_Data,d,variance in predictions,"DescribeResult(nobs=200, minmax=(6.730309439511257e-05, 0.03886827292623451), mean=0.0055561767885399585, variance=3.2397583761503914e-05, skewness=2.033451395052761, kurtosis=6.058339743748949)"
German_Data,d,ambiguity,0.188
German_Data,d,discrepancy,0.123
German_Data,d,disagreement,"DescribeResult(nobs=21, minmax=(0.0, 0.0825), mean=0.036309523809523805, variance=0.0006610119047619048, skewness=0.3259711236879955, kurtosis=-0.8062284290128137)"
Folk_Income_Data,M,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0017817079217861808, 0.14079055343224411), mean=0.024187894914080462, variance=0.00017858666929780685, skewness=2.6948444106850347, kurtosis=11.806523226815159)"
Folk_Income_Data,M,ambiguity,0.469
Folk_Income_Data,M,discrepancy,0.352
Folk_Income_Data,M,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.37604245640636846), mean=0.15164757251565442, variance=0.013478779540789302, skewness=0.6658831494256707, kurtosis=-0.7645146040620823)"
Folk_Income_Data,a,variance in predictions,"DescribeResult(nobs=19785, minmax=(0.0005341856852922588, 0.08540506406431625), mean=0.009558614646542618, variance=7.031958100880227e-05, skewness=2.205283885628022, kurtosis=8.240512039700764)"
Folk_Income_Data,a,ambiguity,0.381
Folk_Income_Data,a,discrepancy,0.213
Folk_Income_Data,a,disagreement,"DescribeResult(nobs=2556, minmax=(0.0, 0.1995451099317665), mean=0.06428590920470173, variance=0.002166473905807102, skewness=0.4499715183695789, kurtosis=-0.5464378493742559)"
Folk_Income_Data,b,variance in predictions,"DescribeResult(nobs=19785, minmax=(2.2625556972616558e-05, 0.080648654772239), mean=0.008261110831603387, variance=6.413367319803747e-05, skewness=2.184740868141425, kurtosis=7.5141119840593475)"
Folk_Income_Data,b,ambiguity,0.307
Folk_Income_Data,b,discrepancy,0.182
Folk_Income_Data,b,disagreement,"DescribeResult(nobs=630, minmax=(0.0, 0.19423805913570888), mean=0.05577365408297933, variance=0.0022599406682411167, skewness=0.5667888849296685, kurtosis=-0.5510010060226915)"
Folk_Income_Data,c,variance in predictions,"DescribeResult(nobs=19785, minmax=(7.860083571354375e-06, 0.1002407940651175), mean=0.00934618116671724, variance=8.431124743039284e-05, skewness=2.2345384630311407, kurtosis=8.063485357240847)"
Folk_Income_Data,c,ambiguity,0.252
Folk_Income_Data,c,discrepancy,0.149
Folk_Income_Data,c,disagreement,"DescribeResult(nobs=36, minmax=(0.0, 0.13735152893606267), mean=0.06214093168225086, variance=0.001803786508971589, skewness=0.2625886313621188, kurtosis=-1.04621950853887)"
Folk_Income_Data,d,variance in predictions,"DescribeResult(nobs=19785, minmax=(3.8783337881534875e-07, 0.11093178378780766), mean=0.006476166843035137, variance=9.441765378764903e-05, skewness=3.4571977282941337, kurtosis=16.45151623684169)"
Folk_Income_Data,d,ambiguity,0.161
Folk_Income_Data,d,discrepancy,0.115
Folk_Income_Data,d,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.08258781905483953), mean=0.039007725910682696, variance=0.0010632769064276805, skewness=-0.03492227490156072, kurtosis=-1.7644139906834935)"
Folk_Travel_Data,M,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.970603675765659e-06, 0.1268004849132), mean=0.0052985522496924115, variance=7.842462994354106e-05, skewness=5.665927434695011, kurtosis=46.19454178761335)"
Folk_Travel_Data,M,ambiguity,0.149
Folk_Travel_Data,M,discrepancy,0.108
Folk_Travel_Data,M,disagreement,"DescribeResult(nobs=10, minmax=(0.0, 0.07317834738425728), mean=0.029143603281387494, variance=0.0005198682401183406, skewness=0.18004490799236023, kurtosis=-0.3681252283591121)"
Folk_Travel_Data,a,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.3436662532763442e-06, 0.0743798748208925), mean=0.0036226133594817666, variance=2.324297874223841e-05, skewness=5.159610344490815, kurtosis=44.53332459166505)"
Folk_Travel_Data,a,ambiguity,0.146
Folk_Travel_Data,a,discrepancy,0.102
Folk_Travel_Data,a,disagreement,"DescribeResult(nobs=190, minmax=(0.0, 0.0656277498651679), mean=0.0171406332402581, variance=0.0002779210492853129, skewness=0.8119806473535078, kurtosis=0.118728329175255)"
Folk_Travel_Data,b,variance in predictions,"DescribeResult(nobs=17615, minmax=(2.490651591981637e-07, 0.07205932553150864), mean=0.003217835106500367, variance=1.6844680636786634e-05, skewness=2.921372255932878, kurtosis=15.970997977998678)"
Folk_Travel_Data,b,ambiguity,0.105
Folk_Travel_Data,b,discrepancy,0.086
Folk_Travel_Data,b,disagreement,"DescribeResult(nobs=45, minmax=(0.0, 0.0365040165772517), mean=0.014993960152778171, variance=0.00022332539166285907, skewness=0.26755542253110964, kurtosis=-1.5747654738323136)"
Folk_Travel_Data,c,variance in predictions,"DescribeResult(nobs=17615, minmax=(3.1584608528796854e-07, 0.07386031114398842), mean=0.003804298603410882, variance=2.3627196913784113e-05, skewness=4.108915683406498, kurtosis=30.905980134848193)"
Folk_Travel_Data,c,ambiguity,0.118
Folk_Travel_Data,c,discrepancy,0.085
Folk_Travel_Data,c,disagreement,"DescribeResult(nobs=10, minmax=(0.0, 0.03590791677311306), mean=0.014039569672712823, variance=0.00020796509054971167, skewness=0.5560164501231218, kurtosis=-1.2559607022963308)"
Folk_Travel_Data,d,variance in predictions,"DescribeResult(nobs=17615, minmax=(4.208869203004947e-07, 0.14469050083614884), mean=0.0053528961875322955, variance=8.084066325595209e-05, skewness=6.2185678802457955, kurtosis=58.937882364452015)"
Folk_Travel_Data,d,ambiguity,0.13
Folk_Travel_Data,d,discrepancy,0.102
Folk_Travel_Data,d,disagreement,"DescribeResult(nobs=6, minmax=(0.0, 0.0656277498651679), mean=0.029965842535032688, variance=0.0004789743590181585, skewness=0.3659050309658173, kurtosis=-0.4493679823429888)"
Folk_Mobility_Data,M,variance in predictions,"DescribeResult(nobs=6899, minmax=(0.0009093000068182925, 0.10893554252323472), mean=0.019431365652932353, variance=0.0001254743834260125, skewness=2.4401326526878133, kurtosis=10.146826868720446)"
Folk_Mobility_Data,M,ambiguity,0.419
Folk_Mobility_Data,M,discrepancy,0.289
Folk_Mobility_Data,M,disagreement,"DescribeResult(nobs=28, minmax=(7.247952453431905e-05, 0.3656592012756396), mean=0.14608765880781535, variance=0.015117221180449388, skewness=0.6111888192008149, kurtosis=-1.0725324455923413)"
Folk_Mobility_Data,a,variance in predictions,"DescribeResult(nobs=6899, minmax=(0.00010280027797833567, 0.06815348530811305), mean=0.007363585525436892, variance=3.673126021645274e-05, skewness=2.483404983649931, kurtosis=10.395529836759886)"
Folk_Mobility_Data,a,ambiguity,0.33
Folk_Mobility_Data,a,discrepancy,0.161
Folk_Mobility_Data,a,disagreement,"DescribeResult(nobs=1540, minmax=(0.0, 0.2069290425454809), mean=0.05033646501356873, variance=0.0016228800836540823, skewness=0.6111546093981535, kurtosis=-0.2753284463757124)"
Folk_Mobility_Data,b,variance in predictions,"DescribeResult(nobs=6899, minmax=(3.372601474116609e-05, 0.10728121229429327), mean=0.0060314185226623285, variance=4.5085529295248e-05, skewness=3.6934825363602184, kurtosis=24.159145053334438)"
Folk_Mobility_Data,b,ambiguity,0.268
Folk_Mobility_Data,b,discrepancy,0.148
Folk_Mobility_Data,b,disagreement,"DescribeResult(nobs=378, minmax=(0.0, 0.14735087337827063), mean=0.038882580485827566, variance=0.0011705878751336685, skewness=0.4952551090770426, kurtosis=-0.6190340980524076)"
Folk_Mobility_Data,c,variance in predictions,"DescribeResult(nobs=6899, minmax=(5.9756230462097494e-05, 0.09246239901735216), mean=0.00990826256127839, variance=6.59761768793116e-05, skewness=1.6244512194275322, kurtosis=5.160700360769413)"
Folk_Mobility_Data,c,ambiguity,0.253
Folk_Mobility_Data,c,discrepancy,0.142
Folk_Mobility_Data,c,disagreement,"DescribeResult(nobs=28, minmax=(0.0, 0.16025222874537942), mean=0.07768510752855175, variance=0.002006080735792779, skewness=0.02750289621577669, kurtosis=-1.0205906403881224)"
