age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income
56,self,9,Married,Other-service,Husband,White,Male,50,Canada,1
28,private,10,Married,Sales,Wife,White,Female,25,United-States,0
36,private,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,0
53,private,5,Married,Handlers-cleaners,Husband,White,Male,50,United-States,0
56,self,10,Married,Sales,Husband,White,Male,50,United-States,0
49,gov,11,Married,Craft-repair,Husband,Black,Male,40,United-States,1
55,private,10,Married,Sales,Husband,White,Male,56,United-States,0
22,private,9,Never-married,Craft-repair,Not-in-family,White,Male,41,United-States,0
21,private,10,Never-married,Other-service,Own-child,White,Female,40,United-States,0
40,private,13,Married,Exec-managerial,Husband,White,Male,60,United-States,0
30,private,13,Never-married,Exec-managerial,Own-child,Black,Male,40,Germany,0
29,gov,13,Married,Prof-specialty,Husband,White,Male,50,United-States,1
19,private,10,Never-married,Other-service,Own-child,Black,Male,35,United-States,0
47,private,13,Married,Exec-managerial,Wife,White,Female,40,United-States,1
20,private,10,Never-married,Adm-clerical,Own-child,White,Female,28,United-States,0
31,private,12,Married,Adm-clerical,Husband,White,Male,40,United-States,1
35,?,9,Married,?,Husband,White,Male,40,United-States,0
39,private,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0
28,private,12,Never-married,Sales,Not-in-family,White,Female,60,United-States,0
24,private,9,Never-married,Other-service,Not-in-family,White,Female,40,United-States,0
38,self,9,Married,Craft-repair,Husband,White,Male,35,United-States,0
37,private,13,Married,Sales,Husband,White,Male,50,United-States,0
46,private,12,Divorced,Tech-support,Not-in-family,Black,Female,36,United-States,0
38,gov,14,Married,Prof-specialty,Husband,White,Male,40,Iran,1
43,self,9,Married,Craft-repair,Husband,White,Male,60,United-States,0
27,private,11,Married,Adm-clerical,Wife,White,Female,35,United-States,0
20,private,10,Never-married,Sales,Own-child,White,Male,20,United-States,0
49,private,10,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,1
61,self,9,Married,Craft-repair,Husband,White,Male,40,United-States,0
27,private,10,Never-married,Sales,Own-child,White,Female,40,United-States,0
19,private,10,Never-married,Other-service,Own-child,White,Male,30,Mexico,0
45,private,11,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,1
70,private,10,Never-married,Tech-support,Other-relative,White,Male,40,United-States,0
31,private,9,Never-married,Transport-moving,Unmarried,Black,Female,30,United-States,0
22,private,10,Married,Other-service,Husband,White,Male,24,United-States,0
36,private,9,Widowed,Other-service,Unmarried,White,Female,24,United-States,0
64,private,7,Married,Craft-repair,Husband,White,Male,40,United-States,0
43,?,10,Divorced,?,Not-in-family,White,Female,40,United-States,0
47,gov,10,Divorced,Adm-clerical,Unmarried,White,Female,38,Mexico,0
34,private,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,0
33,private,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,40,Philippines,0
21,private,9,Never-married,Craft-repair,Own-child,White,Male,35,United-States,0
52,?,9,Divorced,?,Not-in-family,White,Male,45,United-States,1
48,private,9,Married,Craft-repair,Husband,White,Male,46,United-States,0
23,private,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,0
71,self,10,Separated,Sales,Unmarried,Black,Male,2,United-States,0
29,private,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,0
42,private,13,Separated,Other-service,Other-relative,Black,Male,50,United-States,0
68,?,2,Divorced,?,Not-in-family,White,Female,20,United-States,0
25,private,9,Never-married,Other-service,Unmarried,White,Female,40,United-States,0
44,self,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,40,United-States,0
28,private,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,40,England,0
45,self,14,Married,Sales,Husband,White,Male,40,United-States,1
36,private,10,Divorced,Other-service,Unmarried,White,Female,40,Mexico,0
39,gov,12,Never-married,Exec-managerial,Not-in-family,White,Male,42,United-States,0
46,gov,14,Widowed,Protective-serv,Unmarried,White,Male,40,United-States,0
18,private,7,Never-married,Handlers-cleaners,Own-child,White,Male,16,United-States,0
66,gov,11,Widowed,Prof-specialty,Not-in-family,White,Female,20,United-States,0
27,private,9,Never-married,Other-service,Not-in-family,White,Male,40,United-States,0
28,gov,9,Married,Protective-serv,Husband,White,Male,40,United-States,0
51,private,10,Married,Sales,Husband,White,Male,40,United-States,1
27,private,13,Never-married,Craft-repair,Not-in-family,White,Male,50,United-States,0
28,gov,13,Married,Prof-specialty,Husband,White,Male,40,United-States,1
27,private,9,Married,Sales,Unmarried,White,Female,25,United-States,0
21,private,9,Never-married,Craft-repair,Own-child,Black,Male,40,United-States,0
34,private,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,0
18,private,9,Never-married,Other-service,Own-child,White,Male,12,United-States,0
33,private,13,Married,Prof-specialty,Husband,White,Male,65,United-States,0
44,gov,10,Married,Exec-managerial,Husband,Black,Male,38,United-States,1
43,private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0
30,private,10,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,0
40,private,4,Married,Machine-op-inspct,Husband,White,Male,40,Mexico,1
37,gov,10,Married,Adm-clerical,Husband,White,Male,42,United-States,1
34,private,9,Married,Adm-clerical,Husband,Black,Male,40,United-States,0
41,self,13,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,0
53,?,13,Divorced,?,Not-in-family,White,Female,50,United-States,0
31,private,14,Married,Prof-specialty,Wife,White,Female,50,United-States,0
58,gov,16,Married,Prof-specialty,Husband,White,Male,1,United-States,1
38,private,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,28,United-States,0
24,private,10,Married,Machine-op-inspct,Husband,White,Male,40,United-States,0
41,gov,13,Married,Craft-repair,Husband,Black,Male,40,United-States,0
47,private,10,Married,Tech-support,Husband,White,Male,45,United-States,0
41,gov,13,Married,Tech-support,Husband,White,Male,24,United-States,0
23,private,3,Married,Transport-moving,Other-relative,White,Male,40,Mexico,0
36,private,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0
40,gov,14,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,1
35,private,14,Married,Prof-specialty,Other-relative,White,Male,40,United-States,1
24,self,9,Never-married,Sales,Not-in-family,White,Male,40,United-States,0
26,private,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0
19,?,9,Never-married,?,Own-child,White,Male,40,Italy,0
51,private,13,Married,Exec-managerial,Husband,White,Male,50,United-States,1
42,gov,10,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,0
37,gov,9,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,0
18,private,7,Never-married,Sales,Own-child,White,Female,40,United-States,0
36,private,13,Married,Other-service,Husband,Black,Male,36,United-States,1
35,private,9,Divorced,Craft-repair,Not-in-family,White,Male,60,United-States,0
58,self,9,Married,Sales,Wife,White,Female,35,United-States,1
17,private,7,Never-married,Sales,Own-child,White,Female,12,United-States,0
44,gov,9,Married,Transport-moving,Husband,Black,Male,40,United-States,0
37,private,9,Married,Craft-repair,Husband,White,Male,40,United-States,1
35,private,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,40,United-States,0
60,private,9,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,40,United-States,0
54,self,4,Married,Machine-op-inspct,Husband,White,Male,40,United-States,1
37,private,13,Never-married,Exec-managerial,Not-in-family,Black,Male,60,United-States,1
50,private,12,Divorced,Sales,Not-in-family,White,Female,40,United-States,0
38,private,13,Married,Sales,Husband,White,Male,50,Poland,0
45,private,13,Married,Prof-specialty,Husband,White,Male,55,United-States,0
25,private,6,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,0
31,private,10,Married,Handlers-cleaners,Husband,White,Male,40,United-States,0
64,?,2,Divorced,?,Not-in-family,White,Male,40,United-States,0
90,private,9,Never-married,Other-service,Not-in-family,Black,Male,40,United-States,0
54,private,9,Married,Adm-clerical,Husband,Black,Male,20,United-States,0
53,gov,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,35,United-States,0
18,private,9,Never-married,Sales,Own-child,White,Female,40,United-States,0
60,?,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Female,10,United-States,0
66,self,9,Married,Farming-fishing,Husband,White,Male,50,United-States,0
75,private,11,Widowed,Adm-clerical,Not-in-family,White,Female,20,Columbia,0
65,private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0
35,private,7,Separated,Transport-moving,Not-in-family,Black,Male,40,United-States,0
41,private,9,Divorced,Sales,Unmarried,Black,Female,38,United-States,0
25,private,10,Never-married,Adm-clerical,Not-in-family,White,Male,42,United-States,0
33,private,10,Divorced,Craft-repair,Other-relative,Other,Female,40,United-States,0
28,private,15,Never-married,Prof-specialty,Not-in-family,White,Male,55,United-States,1
59,gov,9,Married,Other-service,Husband,White,Male,40,United-States,0
40,gov,10,Never-married,Adm-clerical,Not-in-family,White,Female,38,United-States,0
41,private,13,Married,Exec-managerial,Husband,White,Male,50,Iran,1
38,gov,14,Married,Exec-managerial,Husband,White,Male,70,United-States,1
23,private,9,Never-married,Transport-moving,Own-child,White,Male,40,United-States,0
40,private,13,Married,Prof-specialty,Husband,White,Male,40,United-States,1
41,self,9,Married,Other-service,Wife,White,Female,20,United-States,0
24,gov,12,Married,Protective-serv,Husband,White,Male,50,United-States,0
20,?,10,Never-married,?,Own-child,White,Male,20,United-States,0
38,private,10,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0
56,private,9,Married,Adm-clerical,Husband,White,Male,35,?,0
58,private,9,Married,Adm-clerical,Husband,White,Male,45,United-States,1
32,private,9,Never-married,Other-service,Not-in-family,White,Female,34,United-States,0
40,private,12,Married,Tech-support,Husband,White,Male,60,United-States,1
45,private,9,Married,Adm-clerical,Husband,White,Male,40,?,0
41,private,15,Married,Prof-specialty,Wife,White,Female,40,United-States,1
42,private,13,Married,Adm-clerical,Wife,Black,Female,40,United-States,0
59,gov,6,Widowed,Other-service,Unmarried,Black,Female,30,United-States,0
19,gov,10,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,0
58,private,10,Never-married,Transport-moving,Not-in-family,White,Male,20,United-States,0
42,self,9,Married,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,Cambodia,1
20,private,9,Never-married,Other-service,Own-child,White,Female,40,United-States,0
32,private,9,Separated,Other-service,Not-in-family,White,Female,30,United-States,0
45,private,11,Widowed,Exec-managerial,Not-in-family,White,Female,45,United-States,0
50,private,4,Divorced,Craft-repair,Not-in-family,White,Male,40,United-States,0
36,private,13,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,0
45,private,9,Married,Sales,Husband,White,Male,60,United-States,0
17,private,7,Never-married,Other-service,Own-child,White,Male,12,United-States,0
59,private,10,Married,Sales,Husband,White,Male,40,United-States,0
26,private,7,Married,Craft-repair,Husband,White,Male,40,United-States,0
37,self,10,Married,Exec-managerial,Husband,Asian-Pac-Islander,Male,75,Thailand,1
19,?,10,Never-married,?,Own-child,White,Male,24,Canada,0
64,private,9,Married,Exec-managerial,Husband,White,Male,40,United-States,1
33,private,13,Never-married,Prof-specialty,Not-in-family,White,Female,45,United-States,0
33,private,9,Married,Craft-repair,Wife,White,Female,40,United-States,1
61,private,9,Married,Exec-managerial,Husband,White,Male,40,United-States,1
17,private,5,Never-married,Other-service,Own-child,White,Male,24,United-States,0
50,self,14,Married,Farming-fishing,Husband,White,Male,98,United-States,0
27,gov,14,Never-married,Prof-specialty,Own-child,White,Male,35,United-States,0
30,private,9,Divorced,Prof-specialty,Own-child,White,Female,40,United-States,0
43,private,9,Married,Handlers-cleaners,Husband,Black,Male,40,United-States,0
44,private,10,Married,Craft-repair,Husband,White,Male,40,United-States,1
35,private,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,0
25,private,10,Never-married,Tech-support,Own-child,White,Female,40,United-States,0
24,private,10,Married,Machine-op-inspct,Wife,White,Female,48,United-States,1
22,private,13,Never-married,Prof-specialty,Not-in-family,White,Female,15,Germany,0
42,gov,10,Married,Craft-repair,Husband,White,Male,40,United-States,1
34,private,12,Divorced,Sales,Unmarried,Black,Female,45,United-States,0
60,private,13,Divorced,Prof-specialty,Not-in-family,White,Female,42,United-States,0
21,private,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,United-States,0
57,gov,14,Married,Sales,Husband,White,Male,40,United-States,1
41,private,15,Married,Prof-specialty,Husband,White,Male,60,United-States,1
50,private,10,Divorced,Other-service,Not-in-family,White,Male,45,United-States,0
25,private,13,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,0
50,private,4,Married,Craft-repair,Husband,White,Male,40,Ecuador,0
36,private,13,Married,Prof-specialty,Husband,White,Male,45,United-States,0
31,private,9,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,0
29,gov,13,Never-married,Protective-serv,Not-in-family,White,Male,56,United-States,0
21,private,10,Never-married,Sales,Own-child,White,Male,45,United-States,0
27,private,13,Never-married,Tech-support,Unmarried,Black,Female,40,United-States,0
65,private,9,Married,Transport-moving,Husband,White,Male,16,United-States,0
37,self,13,Divorced,Sales,Not-in-family,White,Female,60,United-States,0
39,?,14,Married,?,Wife,Asian-Pac-Islander,Female,40,?,0
24,private,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,0
38,private,9,Divorced,Sales,Not-in-family,White,Male,80,United-States,0
48,private,13,Married,Adm-clerical,Husband,White,Male,40,United-States,1
21,private,10,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,25,United-States,0
31,private,9,Married,Transport-moving,Husband,White,Male,45,United-States,1
55,private,9,Married,Sales,Husband,White,Male,40,United-States,1
24,private,10,Married,Adm-clerical,Wife,Asian-Pac-Islander,Female,40,Laos,0
43,private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,0
26,private,12,Never-married,Tech-support,Not-in-family,White,Male,45,United-States,0
46,private,12,Never-married,Prof-specialty,Not-in-family,White,Female,33,United-States,0
35,private,12,Married,Adm-clerical,Husband,White,Male,40,United-States,1
41,self,10,Married,Farming-fishing,Husband,White,Male,54,United-States,1
26,private,13,Never-married,Sales,Not-in-family,White,Male,40,United-States,0
34,private,14,Married,Exec-managerial,Husband,Asian-Pac-Islander,Male,35,Taiwan,1
19,?,10,Never-married,?,Own-child,Black,Female,25,United-States,0
36,self,13,Divorced,Prof-specialty,Not-in-family,Black,Female,40,United-States,1
22,private,10,Never-married,Sales,Own-child,White,Male,15,United-States,0
24,private,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0
77,self,10,Married,Sales,Husband,White,Male,40,United-States,0
22,private,3,Married,Machine-op-inspct,Other-relative,White,Female,40,Mexico,0
29,private,10,Never-married,Tech-support,Not-in-family,White,Female,40,United-States,0
62,private,9,Widowed,Other-service,Not-in-family,White,Female,24,United-States,0
39,self,9,Married,Exec-managerial,Husband,White,Male,40,United-States,0
43,private,10,Married,Craft-repair,Husband,White,Male,50,United-States,0
35,private,9,Divorced,Transport-moving,Not-in-family,White,Male,45,United-States,0
29,private,7,Never-married,Exec-managerial,Not-in-family,White,Female,40,United-States,0
76,self,14,Married,Craft-repair,Husband,White,Male,10,United-States,0
63,self,9,Married,Farming-fishing,Husband,White,Male,45,United-States,0
23,?,11,Never-married,?,Own-child,Black,Female,15,United-States,0
43,private,10,Married,Prof-specialty,Wife,White,Female,50,United-States,1
58,self,9,Married,Handlers-cleaners,Husband,White,Male,40,United-States,0
66,private,9,Never-married,Transport-moving,Not-in-family,White,Male,55,United-States,0
41,private,10,Never-married,Craft-repair,Not-in-family,Black,Male,45,United-States,0
26,private,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,0
47,private,11,Never-married,Other-service,Not-in-family,White,Male,40,United-States,0
55,gov,6,Married,Adm-clerical,Husband,White,Male,40,United-States,0
53,private,9,Married,Transport-moving,Husband,White,Male,40,United-States,0
17,private,3,Never-married,Other-service,Other-relative,White,Male,48,Mexico,0
30,private,9,Never-married,Craft-repair,Other-relative,White,Male,40,United-States,0
49,private,14,Never-married,Prof-specialty,Not-in-family,White,Male,60,United-States,0
19,private,9,Never-married,Sales,Unmarried,Black,Male,30,Haiti,0
45,private,9,Married,Other-service,Husband,Black,Male,40,United-States,0
26,private,12,Never-married,Sales,Not-in-family,White,Male,40,United-States,0
38,private,11,Married,Craft-repair,Husband,White,Male,40,United-States,1
36,gov,9,Married,Protective-serv,Husband,White,Male,40,United-States,1
33,private,9,Never-married,Farming-fishing,Not-in-family,White,Male,20,United-States,0
22,gov,10,Never-married,Protective-serv,Own-child,Black,Female,40,United-States,0
43,self,13,Never-married,Sales,Not-in-family,White,Male,42,United-States,0
67,?,7,Married,?,Husband,White,Male,8,United-States,0
30,?,11,Divorced,?,Unmarried,White,Female,40,United-States,0
56,private,12,Married,Other-service,Not-in-family,White,Male,25,Iran,0
31,private,13,Never-married,Prof-specialty,Own-child,White,Male,25,United-States,0
33,private,13,Married,Exec-managerial,Husband,White,Male,40,United-States,1
26,private,9,Married,Other-service,Husband,White,Male,40,United-States,0
33,private,13,Married,Exec-managerial,Husband,White,Male,40,United-States,1
46,gov,7,Married,Transport-moving,Husband,White,Male,30,United-States,0
59,?,13,Married,?,Husband,White,Male,40,United-States,1
38,gov,9,Married,Adm-clerical,Husband,White,Male,40,United-States,1
65,private,7,Widowed,Other-service,Unmarried,Other,Male,40,United-States,0
40,private,11,Married,Tech-support,Husband,White,Male,40,United-States,1
42,private,9,Married,Adm-clerical,Wife,White,Female,35,United-States,0
26,self,5,Married,Craft-repair,Husband,White,Male,40,Portugal,0
36,private,6,Married,Other-service,Wife,White,Female,24,United-States,0
62,private,14,Married,Prof-specialty,Husband,White,Male,40,United-States,1
43,private,13,Married,Transport-moving,Husband,White,Male,45,United-States,0
43,private,13,Divorced,Exec-managerial,Not-in-family,White,Male,45,United-States,1
22,private,9,Married,Sales,Not-in-family,White,Male,55,United-States,0
28,private,9,Married,Craft-repair,Husband,White,Male,40,United-States,0
56,self,10,Married,Sales,Husband,White,Male,45,United-States,0
22,private,12,Never-married,Sales,Not-in-family,White,Female,15,United-States,0
57,private,13,Divorced,Exec-managerial,Not-in-family,White,Female,45,United-States,1
39,private,9,Divorced,Sales,Unmarried,White,Female,40,United-States,0
26,gov,10,Never-married,Adm-clerical,Unmarried,White,Female,15,United-States,0
17,private,7,Never-married,Other-service,Own-child,White,Male,10,United-States,0
40,gov,11,Married,Machine-op-inspct,Husband,White,Male,38,United-States,1
45,private,9,Married,Machine-op-inspct,Husband,Black,Male,40,United-States,0
44,private,9,Never-married,Craft-repair,Not-in-family,Black,Male,40,United-States,0
20,gov,10,Never-married,Adm-clerical,Own-child,White,Female,10,United-States,0
33,private,9,Married,Craft-repair,Wife,White,Female,40,United-States,0
23,private,10,Never-married,Sales,Not-in-family,White,Male,40,United-States,0
46,self,14,Divorced,Exec-managerial,Not-in-family,White,Male,30,United-States,0
38,private,9,Married,Sales,Husband,White,Male,50,United-States,0
54,private,9,Divorced,Transport-moving,Not-in-family,White,Male,40,United-States,0
46,private,3,Divorced,Craft-repair,Not-in-family,White,Female,45,United-States,0
25,private,10,Married,Craft-repair,Husband,White,Male,40,United-States,0
46,private,10,Divorced,Sales,Not-in-family,White,Female,40,United-States,0
36,gov,10,Married,Transport-moving,Wife,White,Female,40,United-States,0
23,private,9,Never-married,Other-service,Not-in-family,White,Female,25,United-States,0
29,private,9,Separated,Machine-op-inspct,Not-in-family,White,Male,40,United-States,0
44,private,10,Married,Adm-clerical,Wife,White,Female,6,United-States,1
19,private,10,Never-married,Adm-clerical,Own-child,White,Female,16,United-States,0
