AGEP,SCHL,MAR,SEX,DIS,ESP,CIT,MIL,ANC,NATIVITY,RELP,DEAR,DEYE,DREM,RAC1P,GCL,COW,ESR,WKHP,JWMNP,PINCP,mobility
26,16,1,2,2,0,1,4,1,1,17,2,2,2,1,0,2,1,50,10,5200,1
30,13,5,1,1,0,1,4,4,1,16,2,2,1,2,2,0,6,0,0,8550,1
27,10,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,0,0,0,1
34,17,5,1,2,0,1,4,4,1,16,2,2,2,2,2,0,6,0,0,0,1
31,14,5,1,2,0,1,4,4,1,16,2,2,2,1,2,0,6,0,0,0,0
21,13,1,2,2,0,2,4,2,1,16,2,2,2,2,0,1,6,0,0,0,0
19,18,5,1,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,0
19,19,5,2,2,0,1,4,1,1,17,2,2,2,1,0,1,3,30,0,3000,0
23,14,5,1,2,0,1,4,1,1,16,2,2,2,1,0,1,6,0,0,0,0
31,11,5,1,2,0,1,4,1,1,16,2,2,2,2,2,0,6,0,0,0,0
22,16,5,2,1,0,1,4,1,1,16,2,1,2,2,0,2,6,40,0,900,0
20,19,5,2,2,0,1,4,2,1,17,2,2,2,1,0,9,3,0,0,0,1
31,11,5,1,2,0,1,4,4,1,16,2,2,2,1,2,0,6,0,0,0,1
30,14,3,1,2,0,5,4,1,2,16,2,2,2,1,2,0,6,0,0,1200,1
27,18,5,1,1,0,1,4,1,1,16,2,1,2,1,0,1,6,40,0,10000,0
20,19,5,2,2,0,1,4,2,1,17,2,2,2,1,0,1,1,20,60,8000,1
28,12,5,2,2,0,1,4,1,1,16,2,2,2,1,0,0,6,0,0,9000,0
21,19,5,2,1,0,1,4,4,1,17,2,2,1,1,0,4,1,20,65,4500,1
19,18,5,2,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,0
31,16,1,2,2,0,1,4,1,1,16,2,2,2,1,2,1,6,0,0,0,0
23,16,5,1,1,0,1,4,1,1,17,2,2,2,2,0,1,1,50,0,79000,0
22,19,5,2,2,0,5,4,1,2,17,2,2,2,1,0,4,1,20,0,5000,0
20,20,5,2,2,0,1,4,1,1,17,2,2,2,1,0,1,1,30,10,10000,0
20,16,5,2,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,0
23,12,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,0,0,0,1
19,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,4,1,20,0,5000,0
21,7,5,1,2,0,5,4,1,2,17,2,2,2,1,0,0,6,0,0,0,1
32,17,5,1,1,0,1,4,1,1,16,2,1,1,1,2,0,6,0,0,5200,1
23,19,5,1,2,0,1,4,1,1,17,2,2,2,2,0,0,6,0,0,0,1
32,16,3,1,2,0,1,4,1,1,16,2,2,2,1,2,1,6,0,0,0,1
23,16,5,1,1,0,1,4,1,1,17,2,1,1,1,0,1,6,52,0,3000,1
33,17,4,1,2,0,1,4,2,1,16,2,2,2,1,2,6,6,50,0,24000,1
24,17,5,1,2,0,1,4,4,1,16,2,2,2,2,0,0,6,0,0,0,1
21,16,5,1,2,0,1,1,4,1,17,2,2,2,1,0,5,4,50,3,24000,1
21,13,5,1,2,0,1,4,2,1,16,2,2,2,2,0,1,6,40,0,11000,0
19,16,5,2,2,0,1,4,4,1,16,2,2,2,2,0,1,6,36,0,140,0
21,12,5,1,1,0,1,4,1,1,16,2,2,1,2,0,2,6,0,0,5000,0
23,17,5,1,1,0,1,1,4,1,17,2,1,2,1,0,5,4,40,2,10000,0
19,18,5,1,2,0,1,4,2,1,17,2,2,2,1,0,1,6,15,0,6000,0
31,17,5,1,2,0,1,4,2,1,16,2,2,2,1,2,0,6,0,0,0,1
20,19,5,1,2,0,1,4,1,1,17,2,2,2,1,0,1,1,20,15,4000,1
29,16,5,1,2,0,1,4,1,1,16,2,2,2,1,0,1,6,0,0,0,1
19,19,5,1,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,1
26,12,1,1,1,0,1,4,1,1,16,2,2,1,2,0,1,6,0,0,0,1
19,18,5,2,2,0,1,4,2,1,17,2,2,2,9,0,0,6,0,0,0,0
19,18,5,1,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,0
19,19,5,2,2,0,1,4,1,1,17,2,2,2,1,0,1,6,40,0,3100,0
34,15,3,1,2,0,1,4,4,1,16,2,2,2,1,2,0,6,0,0,0,1
27,17,4,2,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,0
30,19,5,1,2,0,1,4,2,1,16,2,2,2,1,2,1,6,40,0,6000,0
19,19,5,2,2,0,1,4,1,1,17,2,2,2,1,0,1,1,7,15,300,0
19,16,5,2,2,0,1,4,4,1,17,2,2,2,1,0,1,1,45,10,740,0
32,18,1,2,2,0,1,4,1,1,16,2,2,2,2,2,1,6,0,0,0,0
22,19,5,2,2,0,1,4,4,1,17,2,2,2,1,0,4,1,12,0,6000,0
21,16,5,2,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,0
34,14,5,1,2,0,1,4,1,1,16,2,2,2,2,2,0,6,0,0,0,0
29,7,5,1,2,0,5,4,1,2,16,2,2,2,1,0,0,6,0,0,0,1
30,12,5,1,2,0,1,4,1,1,16,2,2,2,2,2,1,6,0,0,0,0
19,19,5,1,2,0,4,4,1,2,17,2,2,2,1,0,1,1,25,30,3000,0
25,13,5,1,1,0,1,4,1,1,16,2,2,1,1,0,0,6,0,0,0,0
25,14,5,1,2,0,1,4,1,1,16,2,2,2,1,0,1,6,0,0,0,0
23,14,5,1,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,0,1
19,18,5,2,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,1
27,16,5,1,2,0,1,4,2,1,16,2,2,2,1,0,1,6,0,0,0,1
28,16,5,1,2,0,1,4,4,1,16,2,2,2,8,0,0,6,0,0,0,0
25,13,5,1,2,0,5,4,1,2,16,2,2,2,1,0,1,6,0,0,0,0
19,19,5,2,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,1
32,17,5,1,2,0,5,4,1,2,16,2,2,2,1,2,0,6,0,0,0,1
23,19,5,2,2,0,4,1,1,2,17,2,2,2,6,0,5,4,40,5,20000,0
20,19,5,1,2,0,1,4,1,1,17,2,2,2,1,0,1,1,13,15,16800,0
27,16,5,1,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,0
25,22,5,2,2,0,1,4,4,1,17,2,2,2,1,0,1,1,23,15,11600,1
34,17,5,1,2,0,1,4,1,1,17,2,2,2,2,2,0,6,0,0,0,1
33,16,3,2,2,0,1,4,2,1,17,2,2,2,9,2,1,6,0,0,0,0
23,19,5,1,1,0,1,4,1,1,17,2,2,1,2,0,0,6,0,0,13600,0
28,20,5,2,2,0,1,4,2,1,16,2,2,2,1,0,0,6,0,0,0,1
32,17,5,1,2,0,1,4,1,1,16,2,2,2,2,2,0,6,0,0,0,1
23,12,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,0,0,0,0
23,19,5,1,2,0,1,4,4,1,17,2,2,2,1,0,1,6,40,0,4800,1
19,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,1,1,32,20,-1100,1
28,14,5,1,1,0,1,4,4,1,16,2,2,1,2,0,1,6,0,0,0,0
22,16,5,2,2,0,1,1,1,1,17,2,2,2,1,0,5,4,45,15,25000,1
26,19,5,2,2,0,1,1,1,1,17,2,2,2,2,0,5,4,50,2,26000,1
19,18,1,1,2,0,1,4,4,1,17,2,2,2,2,0,1,1,35,20,10000,1
28,11,5,1,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,0,0
22,21,5,1,2,0,1,4,2,1,17,2,2,2,2,0,2,1,15,5,6000,0
28,16,5,2,1,0,1,4,4,1,17,2,2,1,2,0,0,6,0,0,0,0
19,19,5,2,2,0,4,4,1,2,17,2,2,2,6,0,1,6,0,0,0,0
19,19,5,1,2,0,1,4,1,1,17,2,2,2,1,0,1,6,30,0,37000,1
27,16,5,1,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,0
19,19,5,1,2,0,1,4,1,1,17,2,2,2,1,0,1,6,20,0,1000,0
33,16,5,1,2,0,2,4,1,1,16,2,2,2,1,2,0,6,0,0,0,1
20,16,5,2,2,0,1,4,4,1,17,2,2,2,2,0,1,2,30,0,22000,0
20,16,5,2,2,0,1,4,4,1,17,2,2,2,1,0,1,3,6,0,4500,0
21,19,5,1,2,0,5,4,1,2,17,2,2,2,6,0,0,6,0,0,0,1
28,14,5,1,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,0,1
19,19,5,2,2,0,1,4,1,1,17,2,2,2,6,0,1,6,20,0,1800,0
19,19,5,2,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,1
32,11,5,2,2,0,1,4,1,1,16,2,2,2,1,2,0,6,0,0,8400,0
22,14,1,2,2,0,1,4,4,1,17,2,2,2,1,0,1,1,40,90,18000,0
20,19,5,1,2,0,1,4,1,1,17,2,2,2,1,0,1,6,0,0,0,1
22,19,5,1,2,0,1,4,4,1,17,2,2,2,1,0,2,1,12,0,6500,1
22,16,5,1,2,0,1,4,1,1,16,2,2,2,1,0,1,6,40,0,3500,0
19,17,5,1,1,0,1,4,1,1,16,2,2,1,2,0,2,6,0,0,0,0
34,17,5,1,2,0,1,4,4,1,16,2,2,2,2,2,0,6,0,0,0,1
30,13,5,1,2,0,1,4,1,1,16,2,2,2,2,2,0,6,0,0,1200,0
19,19,5,1,2,0,1,4,1,1,17,2,2,2,1,0,1,1,40,0,10000,1
20,16,5,2,1,0,1,4,4,1,17,2,2,1,1,0,0,6,0,0,0,0
21,16,5,1,2,0,1,4,1,1,17,2,2,2,1,0,1,1,40,5,1600,1
19,19,5,2,2,0,1,4,1,1,17,2,2,2,1,0,1,3,30,0,3000,0
20,19,5,2,2,0,1,4,1,1,17,2,2,2,2,0,0,6,0,0,0,1
19,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,1,1,20,15,16000,1
32,18,5,1,2,0,1,4,1,1,16,2,2,2,1,2,1,6,0,0,0,1
23,18,5,2,2,0,1,1,1,1,17,2,2,2,1,0,5,4,40,5,22000,0
19,18,5,1,2,0,1,4,4,1,17,2,2,2,2,0,1,6,30,0,3510,0
29,16,1,2,2,0,1,4,2,1,17,2,2,2,1,0,0,6,0,0,0,0
20,19,5,2,2,0,1,4,4,1,17,2,2,2,1,0,1,6,8,0,350,1
25,19,5,2,2,0,1,4,2,1,16,2,2,2,1,0,1,6,0,0,0,1
21,19,5,1,2,0,1,4,4,1,17,2,2,2,1,0,4,1,18,20,5600,1
33,16,5,1,2,0,1,4,1,1,17,2,2,2,1,2,1,6,48,0,4000,0
27,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,1,1,32,90,7000,0
21,14,5,1,2,0,1,4,4,1,16,2,2,2,2,0,1,6,0,0,0,0
19,16,5,1,2,0,1,4,1,1,17,2,2,2,1,0,3,1,10,4,1300,0
30,1,5,1,1,0,1,4,1,1,16,2,2,2,1,2,0,6,0,0,11200,1
19,19,5,1,2,0,1,4,1,1,17,2,2,2,2,0,9,3,0,0,0,1
29,16,5,1,2,0,1,4,1,1,17,2,2,2,2,0,0,6,0,0,0,1
25,12,1,1,2,0,5,4,2,2,17,2,2,2,1,0,1,1,40,5,7000,0
26,19,5,2,2,0,1,4,1,1,17,2,2,2,1,0,2,1,18,0,4800,1
20,19,5,1,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,1
20,19,5,2,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,1
26,17,5,1,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,0,1
19,16,5,1,2,0,1,1,1,1,17,2,2,2,1,0,5,4,50,10,8000,0
20,16,5,2,2,0,1,4,1,1,17,2,2,2,2,0,1,1,20,5,15000,0
23,15,5,1,1,0,1,4,1,1,16,2,2,1,1,0,1,6,40,0,6000,0
23,21,5,1,2,0,1,4,1,1,17,2,2,2,2,0,1,1,30,15,37000,0
20,19,5,2,2,0,1,4,1,1,17,2,2,2,2,0,1,6,15,0,2000,0
19,16,5,2,1,0,1,4,4,1,16,2,2,1,2,0,1,6,0,0,0,0
19,18,5,1,2,0,1,4,4,1,17,2,2,2,1,0,1,6,40,0,1200,1
19,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,1,6,30,0,3510,1
19,16,5,1,2,0,1,1,4,1,17,2,2,2,1,0,5,4,8,0,8000,1
27,14,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,0,0,0,0
20,19,5,1,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,0
26,16,5,1,2,0,1,1,1,1,17,2,2,2,1,0,5,4,50,5,12000,1
25,19,5,2,2,0,1,1,1,1,17,2,2,2,2,0,5,4,40,5,14000,0
20,17,5,2,2,0,1,1,1,1,17,2,2,2,1,0,5,5,40,0,4800,0
20,19,5,1,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,0
21,19,5,2,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,1
30,16,5,1,2,0,1,4,1,1,16,2,2,2,2,2,0,6,0,0,0,1
26,16,5,1,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,0,0
25,19,5,2,2,0,4,1,1,2,17,2,2,2,2,0,5,4,40,15,19000,1
32,17,5,1,2,0,1,4,2,1,16,2,2,2,1,2,0,6,0,0,0,1
22,19,5,2,2,0,1,4,1,1,17,2,2,2,1,0,1,1,25,10,3300,1
23,21,5,2,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,1
20,15,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,40,0,35000,0
23,16,5,1,1,0,1,4,4,1,16,1,2,2,1,0,1,6,40,0,9800,0
20,20,5,1,1,0,1,4,2,1,17,2,2,2,2,0,0,6,0,0,5900,1
26,19,5,1,2,0,1,1,1,1,17,2,2,2,6,0,5,4,40,10,35000,0
27,13,5,1,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,0,1
21,15,5,2,2,0,5,4,1,2,17,2,2,2,1,0,1,6,9,0,900,1
32,14,5,1,2,0,1,4,1,1,16,2,2,2,1,2,1,6,0,0,0,0
27,16,1,2,2,0,5,4,1,2,16,2,2,2,1,0,0,6,0,0,354000,0
20,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,9,3,0,0,0,1
19,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,4,1,20,0,2000,0
34,13,5,1,2,0,1,4,1,1,16,2,2,2,1,2,0,6,0,0,0,1
21,19,5,1,2,0,1,4,2,1,17,2,2,2,9,0,0,6,0,0,0,1
20,19,5,2,2,0,1,4,4,1,17,2,2,2,1,0,1,6,8,0,350,1
30,13,1,1,2,0,1,4,1,1,16,2,2,2,2,2,1,6,50,0,12000,0
29,17,5,1,1,0,1,4,2,1,16,2,2,1,2,0,0,6,0,0,0,1
26,16,5,1,2,0,1,1,2,1,17,2,2,2,1,0,5,4,47,2,32700,1
21,19,5,2,2,0,1,4,4,1,17,2,2,2,1,0,2,1,10,0,10000,1
25,16,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,60,0,9400,0
20,19,5,1,2,0,1,4,1,1,17,2,2,2,1,0,1,6,20,0,4000,1
19,16,5,2,2,0,1,4,1,1,17,2,2,2,2,0,0,6,0,0,0,0
25,19,5,1,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,0,0
21,20,5,1,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,0
20,20,5,2,2,0,1,4,2,1,17,2,2,2,1,0,0,6,0,0,0,0
28,18,1,1,1,0,1,2,1,1,17,2,2,1,1,0,1,6,0,0,22000,0
23,20,5,1,1,0,1,4,1,1,16,2,1,2,9,0,1,6,0,0,0,1
19,14,5,1,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,0,0
30,13,5,1,1,0,1,4,4,1,16,2,2,1,2,2,0,6,0,0,8550,1
34,17,5,1,2,0,1,4,1,1,17,2,2,2,2,2,0,6,0,0,0,1
21,18,5,2,2,0,1,4,1,1,17,2,2,2,2,0,1,1,40,7,20000,0
26,13,5,1,2,0,1,4,4,1,16,2,2,2,2,0,0,6,0,0,5000,0
34,19,5,1,2,0,1,4,4,1,16,2,2,2,1,2,1,6,0,0,0,0
34,12,1,1,2,0,5,4,2,2,17,2,2,2,1,2,1,1,50,5,7000,0
26,16,5,1,2,0,1,4,1,1,16,2,2,2,1,0,1,6,0,0,0,1
25,19,5,1,2,0,1,4,1,1,17,2,2,2,1,0,1,6,0,0,0,1
32,17,5,1,1,0,1,4,2,1,16,2,2,2,2,2,0,6,0,0,0,0
27,16,4,1,2,0,1,4,2,1,17,2,2,2,1,0,6,6,40,0,35000,0
21,20,5,1,2,0,1,4,2,1,17,2,2,2,1,0,1,1,35,10,6000,1
22,16,5,1,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,0,1
34,13,5,1,1,0,1,4,1,1,16,2,2,1,2,2,0,6,0,0,0,1
19,19,5,2,2,0,1,4,1,1,17,2,2,2,1,0,1,1,5,30,1600,0
31,19,1,2,2,0,1,4,1,1,16,2,2,2,1,2,1,6,30,0,700,0
19,19,5,1,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,1
19,17,5,1,2,0,1,4,4,1,16,2,2,2,1,0,0,6,0,0,0,0
26,19,5,2,2,0,1,4,1,1,17,2,2,2,1,0,2,1,18,0,4800,1
29,19,5,1,1,0,1,4,2,1,16,2,2,1,1,0,0,6,0,0,0,1
20,19,5,1,2,0,1,4,1,1,17,2,2,2,2,0,0,6,0,0,0,1
32,14,5,2,1,0,1,4,4,1,16,2,2,1,1,2,1,6,45,0,10800,0
23,17,1,1,2,0,1,4,4,1,17,2,2,2,1,0,2,1,84,10,10000,1
29,16,5,2,2,0,5,4,1,2,17,2,2,2,2,0,2,1,40,90,36000,1
34,17,5,2,2,0,1,4,1,1,16,2,2,2,2,2,0,6,0,0,0,0
21,19,5,2,2,0,1,4,4,1,17,2,2,2,1,0,2,1,11,0,7000,1
19,16,5,1,2,0,1,4,4,1,17,2,2,2,1,0,1,6,0,0,0,0
22,19,5,2,2,0,1,4,4,1,17,2,2,2,2,0,0,6,0,0,0,1
31,17,5,1,2,0,1,4,1,1,16,2,2,2,1,2,1,6,0,0,0,1
21,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,1,1,15,0,8400,1
19,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,1,3,2,0,300,1
19,18,5,2,2,0,1,4,2,1,17,2,2,2,1,0,1,6,0,0,0,0
25,17,5,1,2,0,1,4,2,1,16,2,2,2,9,0,1,6,40,0,1800,0
23,14,5,1,1,0,1,4,1,1,16,2,2,1,9,0,1,6,0,0,0,1
33,19,5,1,1,0,5,4,1,2,16,2,2,2,8,2,0,6,0,0,0,0
19,18,5,2,1,0,1,4,1,1,17,2,2,1,1,0,1,6,0,0,0,0
32,16,5,1,2,0,1,4,1,1,16,2,2,2,1,2,0,6,0,0,0,0
19,16,5,1,2,0,1,3,2,1,17,2,2,2,1,0,5,4,50,0,10000,0
19,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,3,3,40,0,1500,0
20,19,5,1,2,0,1,1,4,1,17,2,2,2,1,0,5,4,40,2,27000,1
22,13,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,45,0,21200,0
22,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,1,1,8,0,1500,1
24,16,5,1,2,0,1,1,1,1,17,2,2,2,2,0,5,4,40,2,27000,1
32,14,3,1,1,0,1,4,1,1,16,2,2,1,2,2,1,6,0,0,0,0
27,16,5,1,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,0
29,17,1,1,2,0,2,4,4,1,16,2,2,2,1,0,0,6,0,0,0,0
28,16,5,1,2,0,1,4,4,1,16,2,2,2,2,0,1,6,50,0,15600,0
27,16,5,1,1,0,1,4,4,1,16,2,2,1,1,0,0,6,0,0,0,0
20,16,5,2,2,0,1,4,4,1,17,2,2,2,9,0,2,6,0,0,0,0
29,16,5,1,2,0,1,4,2,1,16,2,2,2,1,0,7,6,98,0,98000,0
31,17,5,1,2,0,5,4,1,2,16,2,2,2,1,2,0,6,0,0,0,1
20,16,5,2,2,0,1,4,4,1,17,2,2,2,1,0,2,6,0,0,0,0
19,18,5,1,2,0,5,4,1,2,17,2,2,2,1,0,0,6,0,0,0,0
27,19,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,0,0,0,0
31,16,1,1,2,0,1,4,2,1,16,2,2,2,1,2,1,6,20,0,8000,0
23,16,5,1,2,0,1,1,2,1,17,2,2,2,1,0,5,4,40,10,18000,0
29,16,5,1,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,0,0
33,16,5,2,2,0,1,4,4,1,16,2,2,2,1,2,0,6,0,0,3600,1
25,16,5,1,1,0,2,4,4,1,16,2,2,1,1,0,0,6,0,0,0,1
21,19,5,1,2,0,5,4,2,2,17,2,2,2,6,0,2,1,12,0,1000,1
19,16,5,2,2,0,1,4,4,1,16,2,2,2,2,0,1,6,36,0,140,0
34,17,5,1,1,0,1,4,2,1,17,2,2,1,2,2,1,6,40,0,5000,0
19,18,5,2,2,0,1,4,1,1,17,2,2,2,1,0,0,6,0,0,0,0
32,18,5,1,2,0,1,4,1,1,16,2,2,2,1,2,1,6,0,0,0,1
21,16,5,1,2,0,1,4,4,1,17,2,2,2,1,0,0,6,0,0,0,1
24,11,1,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,0,0,0,0
31,13,5,1,2,0,1,4,1,1,16,2,2,2,1,2,0,6,0,0,0,1
31,17,5,1,2,0,1,4,1,1,16,2,2,2,1,2,1,6,0,0,0,1
22,11,5,1,1,0,1,4,1,1,16,2,2,1,1,0,1,6,0,0,0,0
33,16,5,1,2,0,1,4,2,1,16,2,2,2,1,2,1,6,40,0,5000,0
29,17,5,1,1,0,1,4,2,1,16,2,2,1,2,0,0,6,0,0,0,1
21,15,5,1,2,0,1,4,1,1,16,2,2,2,2,0,0,6,0,0,360,1
28,19,5,1,2,0,1,4,1,1,16,2,2,2,2,0,1,6,0,0,0,1
21,14,5,1,2,0,1,4,2,1,16,2,2,2,2,0,1,6,40,0,3200,0
32,19,5,1,2,0,1,4,2,1,16,2,2,2,1,2,0,6,0,0,0,1
23,21,5,2,2,0,1,4,1,1,17,2,2,2,1,0,5,1,30,5,10000,1
22,19,5,1,2,0,1,4,2,1,17,2,2,2,1,0,2,1,20,0,6200,1
